"Station","CITY","API","PM10","PM2.5","SO2","NO2","O3","CO","P.DM","P.max","P.min","T.DM","T.max","T.min","RH.Mean","RH.min","Precip.Diurnal","WP.DM","WP.max","Sun.hours","date","Time","Class"
54511,"北京",1.36375584159123,1.36611647454696,1.01094555344318,4.23496309866089,2.16828097126492,-0.915202500085271,1.96698552923155,0.531850921653633,0.743784019076122,0.547352802904078,-1.10932674077634,-0.711687865899291,-1.26653621186756,-0.607577044977016,-0.91094389586191,-0.15486268173412,-0.375572063294619,-0.533308047979838,-0.013692730937058,"2015-1-10","2015-1-10 20:00","E"
54511,"北京",-0.00634847515595403,-0.401719679891962,-0.455254032887598,0.805434704192913,0.123983900621534,-0.819911001639573,-0.168922767354033,1.51022834335041,1.47712577815606,0.787769975983827,-1.04629426250149,-1.11732119265955,-0.990916623157755,-0.855891609497821,-0.680839567487377,-0.15486268173412,-0.375572063294619,0.268793138747421,0.175747814211402,"2015-1-11","2015-1-11 20:00","B"
54511,"北京",1.53501888118462,1.3824853278288,1.13090733777934,3.88321659666417,2.03779392420258,-1.30998156507459,1.90883514628786,1.48058054269293,1.49617361605424,1.59917793512798,-1.38847057313643,-1.41713712983018,-1.18385033525462,0.832647429243653,0.69978640275982,-0.15486268173412,-0.966726589933318,-1.39710932599381,-0.338447951191561,"2015-1-13","2015-1-13 20:00","E"
54511,"北京",4.20182906913896,3.91965758651428,3.59678846024474,2.47623058867731,2.86421188893076,-1.48695149075946,3.83338916640503,1.06551133348824,1.00092983070155,1.19848264666173,-1.5055308899326,-1.6904987196034,-1.27572353149122,1.97489442603936,2.48309494766245,-0.15486268173412,-0.730264779277838,-1.39710932599381,-1.98928698748528,"2015-1-15","2015-1-15 20:00","F"
54511,"北京",0.568606014907595,-0.352613120046437,0.0512512787539441,1.33305445718799,0.167479582975649,-0.860750215259158,-0.139847575882187,1.49046314291209,1.50569753500333,1.43889981974148,-1.43349377190419,-1.42595524562932,-1.41353332584612,-0.80622869659366,-0.278156992831945,-0.15486268173412,-0.0208793473113994,0.392193321320846,0.0404331391053591,"2015-1-17","2015-1-17 20:00","C"
54511,"北京",-0.483438371166133,0.367616424354604,0.277845760277792,2.38829396317813,0.863410500641484,-0.574875719922062,0.886730338392979,0.324316317051286,0.791403613821572,0.256848718766048,-1.07330818176214,-1.07323061366387,-0.926605385792134,-0.80622869659366,-0.680839567487377,-0.15486268173412,1.161429705966,1.87299551220194,-0.338447951191561,"2015-1-18","2015-1-18 20:00","D"
54511,"北京",0.0670499703840735,-0.565408212710381,-0.441924945739136,0.805434704192913,0.0804882182674192,-0.711006431987346,-0.070514426987786,0.808563727790096,0.791403613821572,0.797787358195483,-1.1183313805299,-1.09968496106128,-1.22978693337292,-0.80622869659366,-0.565787403300111,-0.15486268173412,-0.966726589933318,0.700693777754407,0.283999554296236,"2015-1-19","2015-1-19 20:00","B"
54511,"北京",-0.00634847515595403,-0.303506560200911,-0.188672289918365,1.77273758468388,0.602436406516795,-0.9288155712918,0.27615131748422,1.19398513633731,1.21045604758154,1.20850002887339,-1.41548449239709,-1.26722916124487,-1.38597136697514,-0.955217435306143,-0.738365649581011,-0.15486268173412,-0.375572063294619,-0.286507682832989,0.121621944168985,"2015-1-2","2015-1-2 20:00","C"
54511,"北京",0.299478381260827,0.253034451381711,0.157883975941637,2.91591371617321,1.29836732418263,-1.13301163938973,1.00862248725572,0.512085721215314,0.467590369552509,0.577404949539047,-1.31643345510802,-1.32013785603968,-1.2573488922439,0.584332864722848,0.297103828104387,-0.15486268173412,-0.375572063294619,-0.656708230553262,-0.149007406043101,"2015-1-20","2015-1-20 20:00","C"
54511,"北京",1.47385350990127,0.220296744818027,0.157883975941637,2.21242071217977,1.25487164182852,-0.942428642498328,0.779375785266164,0.749268126475139,0.829499289617933,0.757717829348858,-1.29842417560092,-1.1790480032535,-1.43190796509344,-0.408925393360372,-0.278156992831945,-0.15486268173412,-0.493802968622359,-0.101407408972852,0.0133702040841506,"2015-1-22","2015-1-22 20:00","C"
54511,"北京",2.30570255935491,2.086346018948,1.61075447512396,4.5867096006576,3.08169030070133,-1.32359463628112,2.40423167790431,0.176077313763895,0.162824963181626,0.256848718766048,-1.28941953584737,-1.09086684526214,-1.34003476885684,0.0380408227770768,-0.220630910738312,-0.15486268173412,-1.7943429272275,-1.39710932599381,-0.663203171446063,"2015-1-23","2015-1-23 20:00","E"
54511,"北京",1.53501888118462,0.858682022809859,0.531098416098563,0.453688202196197,0.602436406516795,-1.09217242577014,0.626171891741439,0.798681127570936,0.781879694872482,0.827839504830452,-1.26240561658672,-1.39068278243277,-1.01847858202873,1.62725403571023,1.79278196253885,-0.11520718021086,-0.257341157966879,-0.841808504413399,-1.06914719676419,"2015-1-25","2015-1-25 20:00","D"
54511,"北京",-1.05839286122968,0.875050876091701,-0.428595858590675,0.18987832569866,0.0804882182674192,-0.738232574400402,0.827461678854216,1.1248069348032,1.49617361605424,0.797787358195483,-1.30742881535447,-1.23195669804832,-1.22059961374926,0.336018300202043,-0.91094389586191,-0.15486268173412,1.27966061129374,2.24319605992221,-1.85397231237924,"2015-1-26","2015-1-26 20:00","B"
54511,"北京",-0.801498301839585,-0.892785278347217,-0.975088431677602,0.18987832569866,-0.963408158231333,-0.751845645606931,-0.658727915995125,1.91541495233595,1.80093902242512,2.00989060580588,-1.55055408870036,-1.57586321421463,-1.37678404735148,-1.30285782563527,-0.853417813768277,-0.15486268173412,1.98904604326018,1.37939478190824,0.39225129438107,"2015-1-27","2015-1-27 20:00","A"
